Datetime,Load(MWh)
2020-06-13 01:00:00+00:00,125.668188
2020-06-13 02:00:00+00:00,121.686599
2020-06-13 03:00:00+00:00,120.631236
2020-06-13 04:00:00+00:00,124.11341599999999
2020-06-13 05:00:00+00:00,139.48968200000002
2020-06-13 06:00:00+00:00,166.166326
2020-06-13 07:00:00+00:00,190.056622
2020-06-13 08:00:00+00:00,205.54197
2020-06-13 09:00:00+00:00,215.146548
2020-06-13 10:00:00+00:00,214.298527
2020-06-13 11:00:00+00:00,207.708357
2020-06-13 12:00:00+00:00,200.587622
2020-06-13 13:00:00+00:00,196.086754
2020-06-13 14:00:00+00:00,198.552693
2020-06-13 15:00:00+00:00,212.388255
2020-06-13 16:00:00+00:00,219.359312
2020-06-13 17:00:00+00:00,216.331609
2020-06-13 18:00:00+00:00,209.084732
2020-06-13 19:00:00+00:00,200.64702800000003
2020-06-13 20:00:00+00:00,194.24866799999998
2020-06-13 21:00:00+00:00,178.714427
2020-06-13 22:00:00+00:00,158.421623
2020-06-13 23:00:00+00:00,143.26523500000002
2020-06-14 00:00:00+00:00,134.86548200000001
2020-06-14 01:00:00+00:00,124.734466
2020-06-14 02:00:00+00:00,120.578395
2020-06-14 03:00:00+00:00,119.21516299999999
2020-06-14 04:00:00+00:00,121.483171
2020-06-14 05:00:00+00:00,133.65341800000002
2020-06-14 06:00:00+00:00,157.41858800000003
2020-06-14 07:00:00+00:00,180.926223
2020-06-14 08:00:00+00:00,198.231759
2020-06-14 09:00:00+00:00,209.909322
2020-06-14 10:00:00+00:00,210.893241
2020-06-14 11:00:00+00:00,205.92406499999998
2020-06-14 12:00:00+00:00,200.161108
2020-06-14 13:00:00+00:00,197.168906
2020-06-14 14:00:00+00:00,204.362819
2020-06-14 15:00:00+00:00,225.448466
2020-06-14 16:00:00+00:00,237.581374
2020-06-14 17:00:00+00:00,236.995099
2020-06-14 18:00:00+00:00,232.21591400000003
2020-06-14 19:00:00+00:00,219.626134
2020-06-14 20:00:00+00:00,203.433235
2020-06-14 21:00:00+00:00,177.769205
2020-06-14 22:00:00+00:00,153.17763200000002
2020-06-14 23:00:00+00:00,139.74838699999998
2020-06-15 00:00:00+00:00,134.235402
2020-06-15 01:00:00+00:00,126.013322
2020-06-15 02:00:00+00:00,123.79858700000001
2020-06-15 03:00:00+00:00,126.834709
2020-06-15 04:00:00+00:00,142.850751
2020-06-15 05:00:00+00:00,170.876112
2020-06-15 06:00:00+00:00,193.126567
2020-06-15 07:00:00+00:00,202.309333
2020-06-15 08:00:00+00:00,209.409711
2020-06-15 09:00:00+00:00,218.791337
2020-06-15 10:00:00+00:00,224.85096299999998
2020-06-15 11:00:00+00:00,218.86577400000002
2020-06-15 12:00:00+00:00,215.52325600000003
2020-06-15 13:00:00+00:00,216.34512300000003
2020-06-15 14:00:00+00:00,224.569285
2020-06-15 15:00:00+00:00,248.152594
2020-06-15 16:00:00+00:00,252.03684600000003
2020-06-15 17:00:00+00:00,244.78627200000003
2020-06-15 18:00:00+00:00,237.86908599999998
2020-06-15 19:00:00+00:00,220.158617
2020-06-15 20:00:00+00:00,201.276683
2020-06-15 21:00:00+00:00,173.370223
2020-06-15 22:00:00+00:00,147.74015300000005
2020-06-15 23:00:00+00:00,132.780175
2020-06-16 00:00:00+00:00,125.91346100000001
2020-06-16 01:00:00+00:00,119.32696200000001
2020-06-16 02:00:00+00:00,114.773128
2020-06-16 03:00:00+00:00,119.73308600000001
2020-06-16 04:00:00+00:00,140.431814
2020-06-16 05:00:00+00:00,173.59862300000003
2020-06-16 06:00:00+00:00,199.188408
2020-06-16 07:00:00+00:00,210.355809
2020-06-16 08:00:00+00:00,220.288269
2020-06-16 09:00:00+00:00,235.78374
2020-06-16 10:00:00+00:00,254.90846000000002
2020-06-16 11:00:00+00:00,253.63277999999997
2020-06-16 12:00:00+00:00,246.424875
2020-06-16 13:00:00+00:00,241.546675
2020-06-16 14:00:00+00:00,247.413879
2020-06-16 15:00:00+00:00,267.306319
2020-06-16 16:00:00+00:00,268.071687
2020-06-16 17:00:00+00:00,257.301542
2020-06-16 18:00:00+00:00,245.598256
2020-06-16 19:00:00+00:00,231.53895099999997
2020-06-16 20:00:00+00:00,212.62118900000002
2020-06-16 21:00:00+00:00,183.232412
2020-06-16 22:00:00+00:00,155.630873
2020-06-16 23:00:00+00:00,140.370818
2020-06-17 00:00:00+00:00,133.072449
2020-06-17 01:00:00+00:00,126.694057
2020-06-17 02:00:00+00:00,122.716346
2020-06-17 03:00:00+00:00,127.2508
2020-06-17 04:00:00+00:00,146.89598700000002
2020-06-17 05:00:00+00:00,179.166139
2020-06-17 06:00:00+00:00,203.241781
2020-06-17 07:00:00+00:00,215.827152
2020-06-17 08:00:00+00:00,222.71532200000001
2020-06-17 09:00:00+00:00,234.410195
2020-06-17 10:00:00+00:00,244.41577999999998
2020-06-17 11:00:00+00:00,238.953875
2020-06-17 12:00:00+00:00,232.840399
2020-06-17 13:00:00+00:00,227.74945400000001
2020-06-17 14:00:00+00:00,232.26153
2020-06-17 15:00:00+00:00,249.690463
2020-06-17 16:00:00+00:00,251.74471699999998
2020-06-17 17:00:00+00:00,244.99351100000004
2020-06-17 18:00:00+00:00,235.618452
2020-06-17 19:00:00+00:00,223.257296
2020-06-17 20:00:00+00:00,207.486614
2020-06-17 21:00:00+00:00,180.572486
2020-06-17 22:00:00+00:00,156.873648
2020-06-17 23:00:00+00:00,143.42225299999996
2020-06-18 00:00:00+00:00,136.524886
2020-06-18 01:00:00+00:00,127.65026
2020-06-18 02:00:00+00:00,125.049656
2020-06-18 03:00:00+00:00,128.758094
2020-06-18 04:00:00+00:00,143.33121599999996
2020-06-18 05:00:00+00:00,170.92882100000003
2020-06-18 06:00:00+00:00,195.077158
2020-06-18 07:00:00+00:00,207.26436
2020-06-18 08:00:00+00:00,212.13897400000002
2020-06-18 09:00:00+00:00,220.252827
2020-06-18 10:00:00+00:00,224.053007
2020-06-18 11:00:00+00:00,219.207839
2020-06-18 12:00:00+00:00,214.554903
2020-06-18 13:00:00+00:00,209.40848799999998
2020-06-18 14:00:00+00:00,213.09294
2020-06-18 15:00:00+00:00,224.72457100000003
2020-06-18 16:00:00+00:00,225.12235
2020-06-18 17:00:00+00:00,221.098658
2020-06-18 18:00:00+00:00,213.98216600000003
2020-06-18 19:00:00+00:00,204.398717
2020-06-18 20:00:00+00:00,195.379872
2020-06-18 21:00:00+00:00,177.13501499999998
2020-06-18 22:00:00+00:00,155.513362
2020-06-18 23:00:00+00:00,139.973349
2020-06-19 00:00:00+00:00,131.349952
2020-06-19 01:00:00+00:00,122.474722
2020-06-19 02:00:00+00:00,118.006054
2020-06-19 03:00:00+00:00,118.44891000000001
2020-06-19 04:00:00+00:00,123.449116
2020-06-19 05:00:00+00:00,138.100771
